IdSucursal,IdComercio,IdBandera,banderaDescripcion,comercioRazonSocial,provincia,localidad,dirección,lat,lng,sucursalNombre,sucursalTipo
1-1-7,1,1,"Super MAMI","Dinosaurio S.A.",AR-X,SALSIPUEDES,"E53 1011 None",-31.12666700,-64.29525000,"Super Mami 4","Hipermercado"
10-1-1,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,"San Isidro","Bernardo De Irigoyen 2647",-34.49134500,-58.58902500,"San Isidro","Hipermercado"
10-1-10,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,Hurlingham,"Av. Vergara 1910",-34.62061000,-58.63376900,"Villa Tesei","Hipermercado"
10-1-11,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,"Malvinas Argentinas","Av. Arturo Illia 3770",-34.52888300,-58.70163100,"Malvinas Argentinas","Hipermercado"
10-1-112,10,1,"Hipermercado Carrefour","INC S.A.",AR-A,Salta,"20 De Febrero 37",-24.78907200,-65.41369900,Salta,"Hipermercado"
10-1-12,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,"San Justo","Av. Don Bosco 2680",-34.66462800,-58.59735600,"San Justo","Hipermercado"
10-1-123,10,1,"Hipermercado Carrefour","INC S.A.",AR-J,"San Juan","Gral. Acha 32",-31.53401600,-68.52474400,"San Juan","Supermercado"
10-1-128,10,1,"Hipermercado Carrefour","INC S.A.",AR-U,"Comodoro Rivadavia","Pellegrini 851",-45.86156200,-67.47996800,"Comodoro Rivadavia","Hipermercado"
10-1-136,10,1,"Hipermercado Carrefour","INC S.A.",AR-R,"General Roca","25 De Mayo 622",-39.03032600,-67.57377500,"General Roca","Supermercado"
10-1-139,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,Olavarría,"Rivadavia 2846",-36.89369400,-60.32165000,Olavarría,"Hipermercado"
10-1-142,10,1,"Hipermercado Carrefour","INC S.A.",AR-V,"Río Grande","Av. San Martín 685",-53.78500900,-67.70299000,"Río Grande","Supermercado"
10-1-147,10,1,"Hipermercado Carrefour","INC S.A.",AR-L,"Santa Rosa","Avellaneda 151",-36.61833800,-64.29124900,"Santa Rosa","Hipermercado"
10-1-149,10,1,"Hipermercado Carrefour","INC S.A.",AR-R,Bariloche,"Moreno 909",-41.13620100,-71.29679200,Bariloche,"Hipermercado"
10-1-15,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,"San Martín","Av. San Martín 420",-34.58632200,-58.51944900,"San Martín","Hipermercado"
10-1-156,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,"San Nicolás","Bartolomé Mitre 264",-33.33181600,-60.22018800,"San Nicolás","Hipermercado"
10-1-157,10,1,"Hipermercado Carrefour","INC S.A.",AR-Q,Neuquén,"Av. Coronel Olascoaga 350",-38.95885800,-68.05893200,Neuquén,"Hipermercado"
10-1-159,10,1,"Hipermercado Carrefour","INC S.A.",AR-W,Corrientes,"Av. Ferré 2985",-27.47709200,-58.81587200,Corrientes,"Hipermercado"
10-1-16,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,"Monte Grande","Camino De Cintura 2200",-34.78083900,-58.45794400,"Monte Grande","Hipermercado"
10-1-161,10,1,"Hipermercado Carrefour","INC S.A.",AR-V,Ushuaia,"12 De Octubre 169",-54.81533900,-68.33429300,Ushuaia,"Hipermercado"
10-1-162,10,1,"Hipermercado Carrefour","INC S.A.",AR-U,Trelew,"Soberanía Nacional 140",-43.25750400,-65.30548900,Trelew,"Hipermercado"
10-1-17,10,1,"Hipermercado Carrefour","INC S.A.",AR-M,Guaymallen,"Av. Acceso Este Lateral Sur None",-32.90823400,-68.78927400,"Mendoza Guaymallén","Hipermercado"
10-1-171,10,1,"Hipermercado Carrefour","INC S.A.",AR-A,Salta,"Av. Bicentenario Batalla De Salta 702",-24.78128500,-65.40166700,"Salta III","Hipermercado"
10-1-175,10,1,"Hipermercado Carrefour","INC S.A.",AR-A,Salta,"Av. Entre Ríos 1816",-24.77965200,-65.42743700,"Salta VII","Hipermercado"
10-1-178,10,1,"Hipermercado Carrefour","INC S.A.",AR-K,"San Fernando del Valle de Catamarca","Hipólito Yrigoyen 1283",-28.47709300,-65.77828300,Catamarca,"Supermercado"
10-1-179,10,1,"Hipermercado Carrefour","INC S.A.",AR-U,"Puerto Madryn","Gales 1315",-42.77549200,-65.04858600,"Puerto Madryn","Hipermercado"
10-1-18,10,1,"Hipermercado Carrefour","INC S.A.",AR-S,Rosario,"Av. Circunvalación None",-32.90452900,-60.72793600,"Rosario Fisherton","Hipermercado"
10-1-180,10,1,"Hipermercado Carrefour","INC S.A.",AR-V,"Río Grande","Perú 76",-53.77413900,-67.72162100,"Rio Grande II","Hipermercado"
10-1-183,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,Maschwitz,"Juan Bautista Alberdi 555",-34.39534700,-58.73883600,Maschwitz,"Hipermercado"
10-1-2,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,"Vicente López","Av. Del Libertador 215",-34.53230200,-58.46817600,"Vicente López","Hipermercado"
10-1-204,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,Olivos,"Gob. Ugarte 1980",-34.51630500,-58.49455200,Ugarte,"Hipermercado"
10-1-21,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,Moreno,"Av. Gaona Y Graham Bell None",-34.63333700,-58.76428300,Moreno,"Hipermercado"
